timestamp,last_price,bid_price,ask_price,bid_volume,ask_volume,volume_24h,high_24h,low_24h,change_24h,price_change_24h,bid_ask_spread,change_24h_normalized,spread_percentage,trend
2025-05-14 20:44:21,103769.14,103769.14,103769.15,2.33214,2.62396,2052214560.6528833,104976.25,102811.32,0.152,157.51,-0.00999999999476131,0.0015199999999999999,-9.636776400730805e-06,bullish
2025-05-14 20:44:23,103781.05,103776.92,103776.93,1.76003,3.12187,2052474279.170123,104976.25,102811.32,0.164,169.41,-0.00999999999476131,0.00164,-9.635670476220188e-06,bullish
2025-05-14 20:44:25,103722.75,103749.4,103749.41,4.0307,1.02353,2052919607.94217,104976.25,102811.32,0.1,103.7,-0.010000000009313226,0.001,-9.641086463011467e-06,bullish
2025-05-14 20:44:28,103773.92,103781.71,103781.72,2.1844,2.87619,2053105168.3774216,104976.25,102811.32,0.147,152.52,-0.00999999999476131,0.00147,-9.636332514721724e-06,bullish
2025-05-14 20:44:30,103796.01,103788.46,103788.47,2.17645,2.54164,2053433429.7503057,104976.25,102811.32,0.169,174.62,-0.00999999999476131,0.00169,-9.634281698074243e-06,bullish
2025-05-14 20:44:32,103788.53,103788.53,103788.54,2.44668,3.71887,2053630129.730065,104976.25,102811.32,0.161,167.13,-0.00999999999476131,0.00161,-9.634976037102858e-06,bullish
2025-05-14 20:44:34,103788.53,103777.77,103777.78,2.24018,3.53345,2053665988.7013779,104976.25,102811.32,0.154,159.67,-0.00999999999476131,0.00154,-9.634976037102858e-06,bullish
2025-05-14 20:44:36,103777.77,103777.77,103777.78,3.19272,2.62499,2053682017.4840345,104976.25,102811.32,0.13,134.75,-0.00999999999476131,0.0013,-9.635975021202816e-06,bullish
2025-05-14 20:44:38,103777.77,103777.77,103777.78,3.32281,1.89975,2053693191.639362,104976.25,102811.32,0.13,134.75,-0.00999999999476131,0.0013,-9.635975021202816e-06,bullish
2025-05-14 20:44:40,103777.77,103782.96,103782.97,0.37449,3.8779,2053695056.6294022,104976.25,102811.32,0.139,144.49,-0.00999999999476131,0.0013900000000000002,-9.635975021202816e-06,bullish
2025-05-14 20:44:42,103728.05,103725.61,103725.62,0.00252,5.6572,2053828341.0084066,104976.25,102811.32,0.12,124.53,-0.00999999999476131,0.0012,-9.640593836249028e-06,bullish
2025-05-14 20:44:44,103722.86,103722.85,103722.86,3.8055,2.58113,2053836120.420972,104976.25,102811.32,0.115,119.35,-0.00999999999476131,0.00115,-9.641076224432405e-06,bullish
